25	4	1	\N	900	0	\N	2026-04-08 08:29:13.271+00	2026-04-08 08:29:13.271+00	\N	\N	Ожидает	\N	\N	procurement	900	0	2026-04-08	2026-04-10	3	\N	\N
26	4	1	\N	900	0	\N	2026-04-08 08:29:13.276+00	2026-04-08 08:29:13.276+00	\N	\N	Ожидает	\N	\N	warehouse	900	0	2026-04-11	2026-04-11	1	\N	\N
27	4	1	\N	900	0	\N	2026-04-08 08:29:13.282+00	2026-04-08 08:29:13.282+00	\N	\N	Ожидает	\N	\N	cutting	900	0	2026-04-12	2026-04-12	1	\N	\N
28	4	1	\N	900	0	\N	2026-04-08 08:29:13.286+00	2026-04-08 08:29:13.286+00	\N	\N	Ожидает	\N	\N	sewing	900	0	2026-04-13	2026-04-13	1	\N	\N
29	4	1	\N	900	0	\N	2026-04-08 08:29:13.35+00	2026-04-08 08:29:13.35+00	\N	\N	Ожидает	\N	\N	qc	900	0	2026-04-14	2026-04-14	1	\N	\N
30	4	3	\N	900	0	\N	2026-04-08 08:29:13.353+00	2026-04-08 08:29:13.353+00	\N	\N	Ожидает	\N	\N	packing	900	0	2026-04-15	2026-04-15	1	\N	\N
31	4	1	\N	900	0	\N	2026-04-08 08:29:13.356+00	2026-04-08 08:29:13.356+00	\N	\N	Ожидает	\N	\N	fg_warehouse	900	0	2026-04-16	2026-04-16	1	\N	\N
32	4	1	\N	900	0	\N	2026-04-08 08:29:13.358+00	2026-04-08 08:29:13.358+00	\N	\N	Ожидает	\N	\N	shipping	900	0	2026-04-17	2026-04-17	1	\N	\N
33	5	1	\N	1090	0	\N	2026-04-08 08:39:54.977+00	2026-04-08 08:39:54.977+00	\N	\N	Ожидает	\N	\N	procurement	1090	0	2026-04-08	2026-04-10	3	\N	\N
34	5	1	\N	1090	0	\N	2026-04-08 08:39:54.98+00	2026-04-08 08:39:54.98+00	\N	\N	Ожидает	\N	\N	warehouse	1090	0	2026-04-11	2026-04-11	1	\N	\N
35	5	1	\N	1090	0	\N	2026-04-08 08:39:54.988+00	2026-04-08 08:39:54.988+00	\N	\N	Ожидает	\N	\N	cutting	1090	0	2026-04-12	2026-04-12	1	\N	\N
36	5	1	\N	1090	0	\N	2026-04-08 08:39:55.053+00	2026-04-08 08:39:55.053+00	\N	\N	Ожидает	\N	\N	sewing	1090	0	2026-04-13	2026-04-13	1	\N	\N
