6	1	300гр.GL№308 Скуба #46 Синий	40	70	0	2026-04-09 12:12:34.144+00	2026-04-09 12:12:34.144+00
7	1	300гр.GL№308 Скуба #46 Синий	42	70	0	2026-04-09 12:12:36.145+00	2026-04-09 12:12:36.145+00
8	1	300гр.GL№308 Скуба #46 Синий	44	70	0	2026-04-09 12:12:40.044+00	2026-04-09 12:12:40.044+00
9	1	300гр.GL№308 Скуба #46 Синий	46	70	0	2026-04-09 12:12:44.351+00	2026-04-09 12:12:44.351+00
10	1	300гр.GL№308 Скуба #46 Синий	48	70	0	2026-04-09 12:12:49.141+00	2026-04-09 12:12:49.141+00
11	1	300гр.GL№308 Скуба #47 молоко	42	28	0	2026-04-09 12:12:53.741+00	2026-04-09 12:12:55.947+00
12	1	300гр.GL№308 Скуба #47 молоко	44	28	0	2026-04-09 12:12:57.354+00	2026-04-09 12:12:57.354+00
13	1	300гр.GL№308 Скуба #47 молоко	46	28	0	2026-04-09 12:13:03.047+00	2026-04-09 12:13:03.047+00
14	1	300гр.GL№308 Скуба #47 молоко	48	28	0	2026-04-09 12:13:05.851+00	2026-04-09 12:13:05.851+00
15	1	380гр.GL№308 Скуба #23 Серый	40	70	0	2026-04-09 12:13:10.444+00	2026-04-09 12:13:10.444+00
16	1	380гр.GL№308 Скуба #23 Серый	42	70	0	2026-04-09 12:13:18.948+00	2026-04-09 12:13:18.948+00
17	1	380гр.GL№308 Скуба #23 Серый	44	70	0	2026-04-09 12:13:21.042+00	2026-04-09 12:13:21.042+00
18	1	380гр.GL№308 Скуба #23 Серый	46	70	0	2026-04-09 12:13:26.253+00	2026-04-09 12:13:26.253+00
19	1	380гр.GL№308 Скуба #23 Серый	48	70	0	2026-04-09 12:13:30.948+00	2026-04-09 12:13:30.948+00
1	1	300гр.GL№308 Скуба #45(28) Коричневый	40	70	40	2026-04-09 12:12:15.543+00	2026-04-09 12:16:16.133+00
2	1	300гр.GL№308 Скуба #45(28) Коричневый	42	70	40	2026-04-09 12:12:20.041+00	2026-04-09 12:17:17.107+00
3	1	300гр.GL№308 Скуба #45(28) Коричневый	44	70	40	2026-04-09 12:12:22.842+00	2026-04-09 12:17:22.447+00
5	1	300гр.GL№308 Скуба #45(28) Коричневый	48	70	40	2026-04-09 12:12:28.045+00	2026-04-09 12:17:23.445+00
4	1	300гр.GL№308 Скуба #45(28) Коричневый	46	70	40	2026-04-09 12:12:25.544+00	2026-04-09 12:17:25.143+00
21	2	Скуба №308-300грамм  #9 синий	44	200	0	2026-04-16 05:42:24.075+00	2026-04-16 05:42:24.075+00
20	2	Скуба №308-300грамм  #9 синий	42	200	0	2026-04-16 05:42:19.178+00	2026-04-16 05:42:32.081+00
22	2	Скуба №308-300грамм  #9 синий	46	200	0	2026-04-16 05:42:35.576+00	2026-04-16 05:42:35.576+00
23	2	Скуба №308-300грамм  #Коричневый #28	42	200	0	2026-04-16 05:42:37.291+00	2026-04-16 05:42:37.291+00
24	2	Скуба №308-300грамм  #Коричневый #28	44	200	0	2026-04-16 05:42:41.478+00	2026-04-16 05:42:41.478+00
25	2	Скуба №308-300грамм  #Коричневый #28	46	100	0	2026-04-16 05:42:44.879+00	2026-04-16 05:42:44.879+00
26	2	Скуба №308-300грамм Графит #13	42	200	0	2026-04-16 05:42:47.377+00	2026-04-16 05:42:47.377+00
27	2	Скуба №308-300грамм Графит #13	44	200	0	2026-04-16 05:42:53.38+00	2026-04-16 05:42:53.38+00
28	2	Скуба №308-300грамм Графит #13	46	200	0	2026-04-16 05:42:55.447+00	2026-04-16 05:42:55.447+00
29	2	Скуба №308-300грамм Черный #22	42	200	0	2026-04-16 05:42:58.177+00	2026-04-16 05:42:58.177+00
30	2	Скуба №308-300грамм Черный #22	44	200	0	2026-04-16 05:43:04.283+00	2026-04-16 05:43:04.283+00
31	2	Скуба №308-300грамм Черный #22	46	200	0	2026-04-16 05:43:08.481+00	2026-04-16 05:43:08.481+00
32	3	№ Рекардо #Коричневый	42	50	0	2026-04-16 06:41:06.026+00	2026-04-16 06:41:12.141+00
33	3	№ Рекардо #Коричневый	44	50	0	2026-04-16 06:41:14.926+00	2026-04-16 06:41:14.926+00
34	3	№ Рекардо #Коричневый	46	50	0	2026-04-16 06:41:15.417+00	2026-04-16 06:41:15.417+00
35	3	№ Рекардо #Коричневый	48	50	0	2026-04-16 06:41:20.318+00	2026-04-16 06:41:20.318+00
36	3	№ Рекардо #Коричневый	50	50	0	2026-04-16 06:41:20.624+00	2026-04-16 06:41:20.624+00
37	3	№ Рекардо #Коричневый	52	50	0	2026-04-16 06:41:23.617+00	2026-04-16 06:41:23.617+00
\.


