1	cut	Крой	1	t	2026-03-23 05:43:38.637+00	2026-03-23 05:43:38.637+00
2	sew	Швейка	2	t	2026-03-23 05:43:38.637+00	2026-03-23 05:43:38.637+00
3	buttonhole	Петля	3	t	2026-03-23 05:43:38.637+00	2026-03-23 05:43:38.637+00
4	button	Пуговица	4	t	2026-03-23 05:43:38.637+00	2026-03-23 05:43:38.637+00
5	label	Метка	5	t	2026-03-23 05:43:38.637+00	2026-03-23 05:43:38.637+00
6	qc	ОТК	6	t	2026-03-23 05:43:38.637+00	2026-03-23 05:43:38.637+00
7	pack	Упаковка	7	t	2026-03-23 05:43:38.637+00	2026-03-23 05:43:38.637+00
\.


