1	S	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	S	ALPHA	1001
2	M	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	M	ALPHA	1002
3	L	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	L	ALPHA	1003
4	XL	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	XL	ALPHA	1004
5	XXL	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	2XL	ALPHA	1005
6	3XL	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	3XL	ALPHA	1006
7	4XL	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	4XL	ALPHA	1007
8	5XL	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	5XL	ALPHA	1008
9	38	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	38	NUMERIC	1
10	40	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	40	NUMERIC	2
11	42	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	42	NUMERIC	3
12	44	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	44	NUMERIC	4
13	46	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	46	NUMERIC	5
14	48	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	48	NUMERIC	6
15	50	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	50	NUMERIC	7
16	52	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	52	NUMERIC	8
17	54	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	54	NUMERIC	9
18	56	t	2026-03-23 05:42:51.578+00	2026-03-23 05:42:51.578+00	56	NUMERIC	10
19	41	t	2026-03-23 05:42:56.952+00	2026-03-23 05:42:56.952+00	41	NUMERIC	41
20	43	t	2026-03-23 05:42:56.952+00	2026-03-23 05:42:56.952+00	43	NUMERIC	43
21	45	t	2026-03-23 05:42:56.952+00	2026-03-23 05:42:56.952+00	45	NUMERIC	45
22	47	t	2026-03-23 05:42:56.952+00	2026-03-23 05:42:56.952+00	47	NUMERIC	47
23	49	t	2026-03-23 05:42:56.952+00	2026-03-23 05:42:56.952+00	49	NUMERIC	49
24	51	t	2026-03-23 05:42:56.952+00	2026-03-23 05:42:56.952+00	51	NUMERIC	51
25	53	t	2026-03-23 05:42:56.952+00	2026-03-23 05:42:56.952+00	53	NUMERIC	53
26	55	t	2026-03-23 05:42:56.952+00	2026-03-23 05:42:56.952+00	55	NUMERIC	55
\.


